Verb	CELEX_count	log_frequency	nasal_in_stressed_coda	stressed_onset_complex	ends_t_d	is_it_two_syllables	modern_type	Modern_Irregular	Middle_Irregular	Old_Irregular	Old_English_source	Middle_English_source
braid	22	1.342422681	0	1	1	0	regular	0	0	1	5	N
brew	73	1.86332286	0	1	0	0	regular	0	1	1	5	10
carve	110	2.041392685	0	0	0	0	regular	0	1	1	11	10
chew	231	2.36361198	0	0	0	0	regular	0	1	1	5	10
chide	13	1.113943352	0	0	1	0	regular	0	0	1	5	N
cleave	42	1.62324929	0	1	0	0	regular	0	1	1	5	10
climb	955	2.980003372	1	1	0	0	regular	0	1	1	5	7
cringe	31	1.491361694	1	1	0	0	regular	0	0	1	5	N
crow	36	1.556302501	0	1	0	0	regular	0	1	1	5	10
dare	389	2.589949601	0	0	0	0	regular	0	1	1	2	3
delve	18	1.255272505	0	0	0	0	regular	0	1	1	8	3
drag	431	2.63447727	0	1	0	0	regular	0	0	1	5	N
drip	137	2.136720567	0	1	0	0	regular	0	0	1	11	N
fare	21	1.322219295	0	0	0	0	regular	0	1	1	8	10
flay	12	1.079181246	0	1	0	0	regular	0	1	1	11	7
float	369	2.567026366	0	1	1	0	regular	0	1	1	5	7
flow	396	2.597695186	0	1	0	0	regular	0	1	1	5	10
fold	289	2.460897843	0	0	1	0	regular	0	1	1	5	3
fret	53	1.72427587	0	1	1	0	regular	0	0	1	2	N
glide	74	1.86923172	0	1	1	0	regular	0	1	1	5	7
gnaw	47	1.672097858	0	0	0	0	regular	0	1	1	5	10
grip	129	2.11058971	0	1	0	0	regular	0	1	1	5	10
help	3690	3.567026366	0	0	0	0	regular	0	1	1	2	7
hew	14	1.146128036	0	0	0	0	regular	0	1	1	5	7
knead	34	1.531478917	0	0	1	0	regular	0	1	1	11	7
lock	382	2.582063363	0	0	0	0	regular	0	1	1	11	7
low	27	1.431363764	0	0	0	0	regular	0	0	1	5	N
melt	232	2.365487985	0	0	1	0	regular	0	1	1	5	10
milk	116	2.064457989	0	0	0	0	regular	0	0	1	5	N
mourn	54	1.73239376	1	0	0	0	regular	0	0	1	5	N
mow	60	1.77815125	0	0	0	0	regular	0	0	1	11	N
reach	1911	3.281260687	0	0	0	0	regular	0	1	1	2	3
reek	34	1.531478917	0	0	0	0	regular	0	0	1	5	N
row	42	1.62324929	0	0	0	0	regular	0	1	1	5	10
rue	5	0.698970004	0	0	0	0	regular	0	1	1	4	10
rush	461	2.663700925	0	0	0	0	regular	0	0	1	2	N
scrape	122	2.086359831	0	1	0	0	regular	0	0	1	11	N
seethe	58	1.763427994	0	0	0	0	regular	0	0	1	8	N
shape	164	2.214843848	0	0	0	0	regular	0	1	1	1	7
shove	99	1.995635195	0	0	0	0	regular	0	1	1	4	10
shrive	4	0.602059991	0	1	0	0	regular	0	1	1	8	3
sigh	180	2.255272505	0	0	0	0	regular	0	0	1	11	N
slip	520	2.716003344	0	1	0	0	regular	0	0	1	11	N
smite	32	1.505149978	0	1	1	0	regular	0	1	1	5	7
smoke	500	2.698970004	0	1	0	0	regular	0	0	1	5	N
snip	19	1.278753601	0	1	0	0	regular	0	0	1	11	N
span	41	1.612783857	1	1	0	0	regular	0	0	1	5	N
spew	25	1.397940009	0	1	0	0	regular	0	0	1	5	N
spurn	18	1.255272505	1	1	0	0	regular	0	0	1	5	N
starve	228	2.357934847	0	1	0	0	regular	0	1	1	5	3
step	424	2.627365857	0	1	0	0	regular	0	1	1	5	3
stretch	621	2.7930916	0	1	0	0	regular	0	1	1	2	3
stroke	216	2.334453751	0	1	0	0	regular	0	0	1	11	N
suck	431	2.63447727	0	0	0	0	regular	0	1	1	5	10
sup	12	1.079181246	0	0	0	0	regular	0	1	1	11	10
tread	146	2.164352856	0	1	1	0	regular	0	1	1	5	8
wade	83	1.919078092	0	0	1	0	regular	0	1	1	5	10
walk	2652	3.42357352	0	0	0	0	regular	0	1	1	5	10
wash	933	2.969881644	0	0	0	0	regular	0	1	1	5	10
warp	23	1.361727836	0	0	0	0	regular	0	0	1	8	N
wax	37	1.568201724	0	0	0	0	regular	0	1	1	5	7
weigh	304	2.482873584	0	0	0	0	regular	0	1	1	5	7
wield	74	1.86923172	0	0	1	0	regular	0	0	1	5	N
work	6319	3.800648355	0	0	0	0	regular	0	1	1	2	3
wreak	12	1.079181246	0	0	0	0	regular	0	1	1	5	7
writhe	96	1.982271233	0	0	0	0	regular	0	1	1	5	7
yell	202	2.305351369	0	0	0	0	regular	0	0	1	8	N
yield	197	2.294466226	0	0	1	0	regular	0	1	1	8	3
bellow	48	1.681241237	0	0	0	1	regular	0	0	1	5	N
prescribe	86	1.934498451	0	1	0	1	regular	0	0	1	11	N
reckon	182	2.260071388	0	0	0	1	regular	0	0	1	2	N
redden	17	1.230448921	0	0	0	1	regular	0	0	1	11	N
swallow	256	2.408239965	0	1	0	1	regular	0	1	1	11	10
uproot	27	1.431363764	0	0	1	1	regular	0	0	1	11	N
prove	1194	3.077004327	0	1	0	0	regular	1	0	0	N	N
sew	157	2.195899652	0	0	0	0	regular	1	0	0	N	N
show	5389	3.731508184	0	0	0	0	regular	1	0	0	N	N
sow	173	2.238046103	0	0	0	0	regular	1	1	1	5	7
spill	162	2.209515015	0	1	0	0	regular	1	0	0	N	N
strew	93	1.968482949	0	1	0	0	regular	1	1	1	6	N
swell	164	2.214843848	0	1	0	0	regular	1	1	1	5	10
creep	262	2.418301291	0	1	0	0	suffix_shorten	1	1	1	5	N
deal	1167	3.067070856	0	0	0	0	suffix_shorten	1	0	0	N	N
dream	344	2.536558443	1	1	0	0	suffix_shorten	1	0	0	N	N
dwell	98	1.991226076	0	1	0	0	regular	1	0	0	N	N
feel	6567	3.817367016	0	0	0	0	suffix_shorten	1	0	0	N	N
flee	192	2.283301229	0	1	0	0	suffix_shorten	1	1	1	2	7
hear	3325	3.52179165	0	0	0	0	suffix_shorten	1	0	0	N	N
keep	5662	3.752969865	0	0	0	0	suffix_shorten	1	0	0	N	N
kneel	216	2.334453751	0	0	0	0	suffix_shorten	1	0	0	N	N
leap	263	2.419955748	0	0	0	0	suffix_shorten	1	1	1	5	7
leave	5940	3.773786445	0	0	0	0	suffix_shorten	1	1	1	8	N
lose	2334	3.368100852	0	0	0	0	suffix_shorten	1	1	1	8	10
mean	7594	3.880470593	1	0	0	0	suffix_shorten	1	0	0	N	N
sleep	1414	3.150449409	0	1	0	0	suffix_shorten	1	1	1	5	10
sweep	399	2.600972896	0	1	0	0	suffix_shorten	1	1	1	5	N
weep	309	2.489958479	0	0	0	0	suffix_shorten	1	1	1	5	7
burn	789	2.897077003	1	0	0	0	regular	1	1	1	11	11
bear	1244	3.09482038	0	0	0	0	vowel	1	1	1	5	8
bind	141	2.149219113	1	0	1	0	vowel	1	1	1	5	8
bite	305	2.484299839	0	0	1	0	vowel	1	1	1	5	7
bleed	344	2.536558443	0	1	1	0	vowel	1	0	0	N	N
