stem	number_of_neutral_Vs	last_V	last_V_height	last_V_length	penult_V	penult_V_height	penult_V_length	B_quality	B_height	B_length	total_frequency	is_output_nak
dolomit	1	i	1	0	NA	NA	NA	o	2	0	7	1
autóé	1	é	2	1	NA	NA	NA	ó	2	1	7	1
kuki	1	i	1	0	NA	NA	NA	u	1	0	7	1
improduktív	1	í	1	1	NA	NA	NA	u	1	0	7	1
immúnis	1	i	1	0	NA	NA	NA	ú	1	1	7	1
kankalin	1	i	1	0	NA	NA	NA	a	3	0	8	1
motoré	1	é	2	1	NA	NA	NA	o	2	0	8	1
szinopszis	1	i	1	0	NA	NA	NA	o	2	0	8	1
tivoli	1	i	1	0	NA	NA	NA	o	2	0	8	1
luiz	1	i	1	0	NA	NA	NA	u	1	0	8	1
radír	1	í	1	1	NA	NA	NA	a	3	0	9	1
gácsér	1	é	2	1	NA	NA	NA	á	4	1	9	1
kanári	1	i	1	0	NA	NA	NA	á	4	1	9	1
nárcisz	1	i	1	0	NA	NA	NA	á	4	1	9	1
makaróni	1	i	1	0	NA	NA	NA	ó	2	1	9	1
buzis	1	i	1	0	NA	NA	NA	u	1	0	9	1
gané	1	é	2	1	NA	NA	NA	a	3	0	10	1
kanapé	1	é	2	1	NA	NA	NA	a	3	0	10	1
karalábé	1	é	2	1	NA	NA	NA	á	4	1	10	1
parafrázis	1	i	1	0	NA	NA	NA	á	4	1	10	1
fluorid	1	i	1	0	NA	NA	NA	o	2	0	10	1
monolit	1	i	1	0	NA	NA	NA	o	2	0	10	1
pucér	1	é	2	1	NA	NA	NA	u	1	0	10	1
lutri	1	i	1	0	NA	NA	NA	u	1	0	10	1
induktív	1	í	1	1	NA	NA	NA	u	1	0	10	1
trapéz	1	é	2	1	NA	NA	NA	a	3	0	11	1
